label x y z xscale yscale zscale xrot yrot zrot
car 12.742070159628547 0.814804560293474367 -18.27229672839838 1.540094256401062 1.656250238418579 2.014927387237549 -90 0 99.55143332041178
car -3.460587177605758 0.85741839888970937 -17.364357422047068 1.588056206703186 1.7015726566314697 2.3468098640441895 -90 0 96.0666012309917265
vegetation -7.06345972279920345 8.06607475427423195 -28.642234802246094 2 8 2 0 0 0
vegetation 27 6 -29.4885482788086 2 6 2 0 0 0
vegetation 22 6 -28.4885482788086 2 6 2 0 0 0
vegetation 0.3 6 -28.4885482788086 2 7 2 0 0 0
vegetation 9 6 -28.4885482788086 2 6 2 0 0 0
vegetation 7 6 -28.4885482788086 2 6 2 0 0 0
vegetation 9 2 -32.4885482788086 6 2 2 0 0 0
vegetation 7 2 -32.4885482788086 6 2 2 0 0 0
vegetation 0.3 2 -32.4885482788086 6 2 2 0 0 0
vegetation -1 2 -32.4885482788086 6 2 2 0 0 0
vegetation -13 2 -32.4885482788086 6 2 2 0 0 0
vegetation -5.3 2 -32.4885482788086 6 2 2 0 0 0
vegetation -17 2 -32.4885482788086 6 2 2 0 0 0
vegetation -9 2 -32.4885482788086 6 2 2 0 0 0
vegetation -42 2 -32.4885482788086 6 2 2 0 0 0
vegetation -46 2 -32.4885482788086 6 2 2 0 0 0
vegetation -52 2 -32.4885482788086 6 2 2 0 0 0
vegetation -58 2 -32.4885482788086 6 2 2 0 0 0
vegetation -36 2 -32.4885482788086 6 2 2 0 0 0
vegetation -30 2 -32.4885482788086 6 2 2 0 0 0
vegetation -24 2 -32.4885482788086 6 2 2 0 0 0
vegetation -20 2 -32.4885482788086 6 2 2 0 0 0
vegetation 15 2 -32.4885482788086 6 2 2 0 0 0
vegetation 21 2 -32.4885482788086 6 2 2 0 0 0
vegetation 25 2 -32.4885482788086 6 2 2 0 0 0
vegetation 29 2 -32.4885482788086 6 2 2 0 0 0
vegetation 33 2 -32.4885482788086 6 2 2 0 0 0
vegetation 38 2 -32.4885482788086 6 2 2 0 0 0
vegetation 44 2 -32.4885482788086 6 2 2 0 0 0
vegetation 48 2 -32.4885482788086 6 2 2 0 0 0
vegetation 53 2 -32.4885482788086 6 2 2 0 0 0
vegetation 58 2 -32.4885482788086 6 2 2 0 0 0
vegetation 63 2 -32.4885482788086 6 2 2 0 0 0
sidewalk -1.6079991571086376 0 -6.34907007217407 10 0 7 0 0 0
sidewalk 9 0 -55 100 0 187 0 -90 0
sidewalk 35 0 -21 8 0 27 0 -90 0
